Id,Product_Code,Product_Weight,Fat_Category,Visibility_Score,Category_Type,Retail_Price,Store_Code,Year_Opened,Store_Size,Location_Class,Store_Category,Total_Sales
1,FDI28,14.3,Reduced,0.026299797,Frozen Foods,79.4302,OUT013,1987,Spacious,Rural,Superstore A,1743.0644
2,NCM17,7.93,Reduced,0.07113587,Health and Hygiene,42.7086,OUT046,1997,Compact,Urban,Superstore A,356.8688
3,FDC14,14.5,Standard,0.041313203,Canned,42.0454,OUT049,1999,Standard,Urban,Superstore A,377.5086
4,DRC36,,Standard,0.044767032,Beverages,173.7054,OUT027,1985,Standard,Rural,Superstore C,5778.4782
5,FDS27,10.195,Standard,0.012455787,Proteins,197.511,OUT035,2004,Compact,Suburban,Superstore A,2356.932
6,DRK12,9.5,Reduced,0.041951439,Beverages,32.49,OUT049,1999,Standard,Urban,Superstore A,865.54
7,FDO25,,Reduced,0.126831854,Canned,209.027,OUT027,1985,Standard,Rural,Superstore C,4613.994
8,FDB58,10.5,Standard,0.013551445,Snack Foods,142.0154,OUT018,2009,Standard,Rural,Superstore B,2410.8618
9,FDY48,14,Reduced,0.023831558,Baking Goods,103.1332,OUT018,2009,Standard,Rural,Superstore B,1948.1308
10,NCP42,8.51,Reduced,0.016176344,HomeGoods,192.1478,OUT018,2009,Standard,Rural,Superstore B,1937.478
11,NCD43,8.85,Reduced,0.026814124,HomeGoods,103.7964,OUT010,1998,,Rural,MiniMart,210.3928
12,NCQ06,,Reduced,0.073229342,HomeGoods,254.1014,OUT019,1985,Compact,Urban,MiniMart,255.0014
13,FDR45,10.8,Reduced,0.029107004,Snack Foods,240.5222,OUT017,2007,,Suburban,Superstore A,4541.4218
14,FDY12,9.8,Standard,0,Baking Goods,49.2008,OUT013,1987,Spacious,Rural,Superstore A,657.8104
15,DRG39,14.15,Reduced,0.042180995,Edibles,52.0982,OUT046,1997,Compact,Urban,Superstore A,578.5802
16,NCM05,6.825,Reduced,0.059835659,Health and Hygiene,264.3226,OUT035,2004,Compact,Suburban,Superstore A,4229.1616
17,FDF46,7.07,Reduced,0.093861144,Snack Foods,115.5834,OUT045,2002,,Suburban,Superstore A,1267.0174
18,FDB12,11.15,Standard,0.105287746,Baking Goods,103.2648,OUT035,2004,Compact,Suburban,Superstore A,2388.8904
19,FDT26,18.85,Standard,0.068059156,Edibles,120.344,OUT049,1999,Standard,Urban,Superstore A,1797.66
20,FDL20,,Reduced,0.127792701,Produce,111.1886,OUT027,1985,Standard,Rural,Superstore C,4447.544
21,FDI04,13.65,Standard,0.073060301,Frozen Foods,196.2426,OUT045,2002,,Suburban,Superstore A,2570.6538
22,FDK50,7.96,Reduced,0.028339599,Canned,162.4894,OUT013,1987,Spacious,Rural,Superstore A,1779.6834
23,FDX58,13.15,Reduced,0.043852434,Snack Foods,182.695,OUT045,2002,,Suburban,Superstore A,4211.185
24,FDT28,13.3,Reduced,0.063664998,Frozen Foods,151.6708,OUT049,1999,Standard,Urban,Superstore A,3912.2408
25,NCB31,6.235,Reduced,0.119345629,HomeGoods,261.991,OUT017,2007,,Suburban,Superstore A,2366.919
26,DRH25,,Reduced,0.014522363,Beverages,50.2324,OUT027,1985,Standard,Rural,Superstore C,1298.31
27,FDG21,,Standard,0.256152243,Seafood,151.005,OUT019,1985,Compact,Urban,MiniMart,149.805
28,FDE28,9.5,Standard,0,Frozen Foods,228.4668,OUT049,1999,Standard,Urban,Superstore A,3916.2356
29,FDG09,20.6,Standard,0.048207431,Produce,188.0556,OUT017,2007,,Suburban,Superstore A,2065.3116
30,FDL13,13.85,Standard,0.056406129,Breakfast,231.43,OUT049,1999,Standard,Urban,Superstore A,3029.39
31,FDY40,15.5,Standard,0.085834992,Frozen Foods,49.6692,OUT046,1997,Compact,Urban,Superstore A,788.3072
32,FDO52,11.6,Standard,0.077164595,Frozen Foods,172.5106,OUT046,1997,Compact,Urban,Superstore A,2566.659
33,FDY22,16.5,Standard,0.159690469,Snack Foods,142.4128,OUT035,2004,Compact,Suburban,Superstore A,575.2512
